method,accuracy,f1_score,prauc,roc,aps,precision,recall,elapsed
xgb,0.9122146673142302,0.5326438267614738,0.6325786426737845,0.9420788566615708,0.6332211185084359,0.6655896607431341,0.44396551724137934,0.12083721160888672
rf,0.8544196211753279,0.581500872600349,0.6142086796700487,0.9351922137761168,0.614552439843909,0.43004646360351056,0.8976293103448276,0.7754397392272949
xt,0.8530840213695969,0.5120967741935484,0.5219194376340165,0.8948235754864768,0.5223590346176632,0.40914948453608246,0.6842672413793104,0.7504327297210693
ivf_rf,0.8547838756677999,0.5821104122990916,0.6154237003486314,0.9356108327199291,0.6157669344120202,0.43071354705274045,0.8976293103448276,11.482423067092896
swf_rf,0.8545410393394852,0.5819958129797627,0.6145835918054059,0.9353181386010607,0.6149270129342899,0.43034055727554177,0.8987068965517241,2.772672176361084
owf_rf,0.8545410393394852,0.5819958129797627,0.6145683525150083,0.9353160742596681,0.6149117823410992,0.43034055727554177,0.8987068965517241,2.2819478511810303
mrf_rf,0.8563623118018455,0.5913644214162349,0.6344269960647257,0.9416600902648019,0.6347564953948454,0.4351804778851042,0.9224137931034483,26.376877546310425
xgb,0.9140359397765906,0.5292553191489362,0.6587402664670591,0.9426606323018705,0.6590588203000853,0.6909722222222222,0.42887931034482757,0.15260624885559082
rf,0.8527197668771248,0.5792577176552203,0.6360699502200727,0.9354742912821093,0.6364397534830908,0.42710997442455245,0.8997844827586207,0.8565430641174316
xt,0.8545410393394852,0.5169354838709677,0.5440160115795271,0.8890673069663854,0.5443619247132537,0.41301546391752575,0.6907327586206896,0.7386856079101562
ivf_rf,0.8527197668771248,0.5792577176552203,0.6370617009381009,0.9358196261064871,0.6374244172967201,0.42710997442455245,0.8997844827586207,11.097489356994629
swf_rf,0.8525983487129675,0.5790568654646324,0.6363706064564872,0.9355860606232188,0.6367404893987735,0.4268916155419223,0.8997844827586207,2.6682474613189697
owf_rf,0.8523555123846528,0.5786555786555787,0.6363563223590004,0.9355869453409583,0.6367262721918243,0.42645556690500513,0.8997844827586207,2.299177408218384
mrf_rf,0.8557552209810587,0.5880721220527045,0.6527339916212744,0.9410876778872468,0.6530839798174508,0.4335378323108384,0.9137931034482759,25.576257944107056
xgb,0.912821758135017,0.49930264993026496,0.6648268385428882,0.9507394323415057,0.6652537730277089,0.7075098814229249,0.3857758620689655,0.15872979164123535
rf,0.8583050024283633,0.5940869565217392,0.6444920574643179,0.9449195378706378,0.6448032162953474,0.43862352336928606,0.9202586206896551,0.9114804267883301
xt,0.8609762020398252,0.5301600328272467,0.5507846701609819,0.9055571185568956,0.551124008787242,0.4280980781974818,0.6961206896551724,0.7483687400817871
ivf_rf,0.8587906750849927,0.5946322760543743,0.6452288603019842,0.9451998459411509,0.6455404595685099,0.4394641937145801,0.9191810344827587,11.879435300827026
swf_rf,0.8579407479358913,0.5934676858929813,0.6447324071502165,0.9450236396580035,0.6450445953729743,0.4379487179487179,0.9202586206896551,2.738652229309082
owf_rf,0.8580621661000486,0.5936739659367397,0.6447794121261406,0.9450217227695675,0.6450907577658396,0.4381734222678297,0.9202586206896551,2.4511773586273193
mrf_rf,0.8626760563380281,0.6041302065103256,0.6620562542605999,0.9501607532132949,0.6623614420208825,0.44738206324520474,0.9299568965517241,26.930281400680542
xgb,0.9141573579407479,0.5302325581395348,0.6634879600265378,0.9468746166223128,0.6638162074483526,0.6915077989601387,0.42995689655172414,0.12328720092773438
rf,0.8510199125789218,0.5776247848537005,0.6257272600976646,0.9384196640903687,0.6260949588511562,0.42438037430450176,0.9040948275862069,0.8799266815185547
xt,0.8499271491015056,0.5004042037186742,0.5197810617239516,0.88646439364985,0.520232185064006,0.4003880983182406,0.6670258620689655,0.722017765045166
ivf_rf,0.8519912578921807,0.5798000689417443,0.6269411478610226,0.9388093822546855,0.6273087976346623,0.4262544348707552,0.90625,11.106350898742676
swf_rf,0.8512627489072365,0.5783132530120482,0.6260287926505497,0.9385368891908724,0.6263965188279205,0.424886191198786,0.9051724137931034,2.852261781692505
owf_rf,0.8513841670713939,0.578512396694215,0.6260679012152507,0.9385419025913972,0.6264355299371894,0.4251012145748988,0.9051724137931034,2.8782403469085693
mrf_rf,0.8574550752792618,0.5973936899862825,0.6528330885289845,0.9464636652322442,0.6531950268985514,0.4381287726358149,0.9385775862068966,26.536105155944824
xgb,0.9154929577464789,0.556687898089172,0.6610795936043424,0.943899089684427,0.6613852997391205,0.6806853582554517,0.4709051724137931,0.12427616119384766
rf,0.8561194754735308,0.5840645840645841,0.6304263044033795,0.9369069442085195,0.6307743311673951,0.43310775637688703,0.896551724137931,0.7660567760467529
xt,0.8576979116075765,0.5204582651391161,0.5557775919021402,0.8997244694052807,0.5560738393494132,0.41952506596306066,0.6853448275862069,0.8489887714385986
ivf_rf,0.8567265662943176,0.5856741573033708,0.6312038657902288,0.9372216088179227,0.6315607705450862,0.434375,0.8987068965517241,11.578914880752563
swf_rf,0.8561194754735308,0.5843563661873027,0.6306190279273753,0.9370060325953606,0.6309719874729798,0.4331773270930837,0.8976293103448276,2.6481025218963623
owf_rf,0.8561194754735308,0.5843563661873027,0.6305975217032342,0.9370051478776211,0.6309506978303988,0.4331773270930837,0.8976293103448276,2.3580946922302246
mrf_rf,0.8570908207867897,0.5894663411231252,0.6475860751507478,0.9421662962648397,0.6479142582803442,0.4357916451779268,0.9105603448275862,26.805606842041016
xgb,0.9151287032540067,0.5428384565075213,0.670846623803222,0.9456461860408055,0.6711179186567603,0.6905158069883528,0.44719827586206895,0.2300877571105957
rf,0.8545410393394852,0.5811188811188812,0.6457475880269992,0.9389055215823945,0.6460244759745387,0.4301242236024845,0.8954741379310345,0.8051323890686035
xt,0.8600048567265663,0.522567287784679,0.557482795303511,0.8993853276050809,0.557788842032083,0.42434431741761935,0.6799568965517241,0.7275798320770264
ivf_rf,0.8550267119961146,0.5825174825174825,0.6468125918282437,0.9392738590680028,0.6470913522958278,0.4311594202898551,0.8976293103448276,11.272831201553345
swf_rf,0.8547838756677999,0.5818181818181818,0.6461136688270113,0.9390199450767229,0.6463905785854963,0.4306418219461698,0.896551724137931,2.8103506565093994
owf_rf,0.8547838756677999,0.5818181818181818,0.6461188403521072,0.9390155214880245,0.646395680301566,0.4306418219461698,0.896551724137931,2.352565050125122
mrf_rf,0.8558766391452162,0.5911126420943852,0.6640015513507096,0.9449723260291036,0.6643148216112179,0.43443037974683546,0.9245689655172413,26.43932294845581
xgb,0.9108790675084992,0.4688856729377713,0.6642827561983465,0.9456962463195744,0.6646035102587554,0.7136563876651982,0.34913793103448276,0.13478612899780273
rf,0.8538125303545411,0.5873886223440713,0.6390278619951132,0.9384155354075834,0.6393250441090578,0.4306532663316583,0.9234913793103449,0.8138906955718994
xt,0.8546624575036426,0.5136123527021537,0.5415698279452864,0.899070957901591,0.5419264698447742,0.41226353555120676,0.6810344827586207,0.7338278293609619
ivf_rf,0.8539339485186984,0.5878725590955807,0.6406414473065819,0.9388626127720211,0.6409371182839732,0.430939226519337,0.9245689655172413,11.1366868019104
swf_rf,0.8535696940262263,0.5875512995896033,0.6395106188901852,0.9385383637204388,0.6398071644201991,0.4303607214428858,0.9256465517241379,2.6935458183288574
owf_rf,0.8536911121903836,0.5877523092712966,0.6394898366766253,0.9385382162674821,0.6397864419545894,0.4305764411027569,0.9256465517241379,2.399829864501953
mrf_rf,0.8597620203982516,0.5990975355779243,0.6599712507956662,0.9451056235018779,0.6602874927807345,0.441884280593958,0.9299568965517241,25.936296463012695
xgb,0.9142787761049053,0.5415584415584416,0.6518123842782448,0.9460108372024989,0.6521650702356399,0.6813725490196079,0.44935344827586204,0.11301326751708984
rf,0.8536911121903836,0.5740544361965358,0.6130202484649458,0.9331538241039579,0.6133876382645909,0.4271436086270384,0.875,0.8063366413116455
xt,0.8547838756677999,0.5146103896103897,0.5284529978448053,0.8905720643885774,0.5288526097006717,0.4127604166666667,0.6831896551724138,0.7276463508605957
ivf_rf,0.8538125303545411,0.5742574257425742,0.6139310266926864,0.933455217947266,0.6142987985069764,0.42736842105263156,0.875,11.126054048538208
swf_rf,0.8533268576979116,0.5734463276836158,0.6132996375232934,0.9332526175848856,0.6136671439257123,0.4264705882352941,0.875,2.611842155456543
owf_rf,0.8533268576979116,0.5734463276836158,0.6132957404646848,0.9332533548496688,0.6136632518410104,0.4264705882352941,0.875,2.37900972366333
mrf_rf,0.8558766391452162,0.5874174487313173,0.6337692183310046,0.9402325981918729,0.6341002850056665,0.4335556695741406,0.9105603448275862,25.712555408477783
xgb,0.9122146673142302,0.4996539792387544,0.6574003249652517,0.946723034982919,0.6577650693060939,0.6982591876208898,0.3890086206896552,0.15923285484313965
rf,0.8545410393394852,0.5811188811188812,0.6210198606579502,0.937547479852028,0.6213336501351361,0.4301242236024845,0.8954741379310345,0.7749230861663818
xt,0.8581835842642059,0.5220949263502456,0.5443015093056998,0.9032151232470792,0.5446599260759436,0.420844327176781,0.6875,0.805107593536377
ivf_rf,0.8547838756677999,0.5821104122990916,0.6219899899387108,0.9378531498310778,0.6223050851408013,0.43071354705274045,0.8976293103448276,11.430850982666016
swf_rf,0.8542982030111704,0.5812979762735521,0.6214274707264601,0.9376604288167901,0.6217410625797257,0.4298245614035088,0.8976293103448276,2.6214442253112793
owf_rf,0.8544196211753279,0.581500872600349,0.6214120286839752,0.9376568899458316,0.6217256326385906,0.43004646360351056,0.8976293103448276,2.4078595638275146
mrf_rf,0.8556338028169014,0.5918297288019225,0.6376004544352071,0.94448941759621,0.6381840044308535,0.4342569269521411,0.9288793103448276,26.02410650253296
xgb,0.915857212238951,0.5136842105263159,0.664817221628954,0.9491198090661156,0.66521427843571,0.7364185110663984,0.39439655172413796,0.12268877029418945
rf,0.8614618746964546,0.5969622041681385,0.6384128309253473,0.9430878772436441,0.6387965798130097,0.4440357330530741,0.9105603448275862,0.8108410835266113
xt,0.8608547838756678,0.533767290480065,0.5513531171070463,0.9029132870449013,0.5517735369416756,0.4287581699346405,0.7068965517241379,0.8386237621307373
ivf_rf,0.8625546381738708,0.5991501416430595,0.6394620738834698,0.9433995927939149,0.6398454064078904,0.4462025316455696,0.9116379310344828,11.695554494857788
swf_rf,0.8617047110247693,0.597668668315083,0.6386794082550352,0.9431649951399504,0.6390627355228891,0.44456121912769314,0.9116379310344828,2.6859843730926514
owf_rf,0.8618261291889266,0.5978798586572438,0.638678966385515,0.9431645527810806,0.6390622945261011,0.444794952681388,0.9116379310344828,2.290656566619873
mrf_rf,0.8675327829043225,0.6118818925649235,0.6565718078371513,0.9486321084121323,0.6569798481446661,0.45671800318640465,0.9267241379310345,25.988346576690674
xgb,0.9103933948518699,0.5020242914979758,0.642798966923813,0.9425872744559576,0.6431155693291076,0.6714801444043321,0.40086206896551724,0.4514045715332031
rf,0.847013113161729,0.573170731707317,0.607335071294465,0.9342589840137403,0.607691975655367,0.41798418972332013,0.9116379310344828,0.9051957130432129
xt,0.8516270033997086,0.5115907274180655,0.5213908596847707,0.8921048378725251,0.5217928730239394,0.40660736975857686,0.6896551724137931,0.7356257438659668
ivf_rf,0.8468916949975717,0.572976633931595,0.6084709918589204,0.934617884510126,0.6088286272793225,0.4177777777777778,0.9116379310344828,11.75357985496521
swf_rf,0.8465274405050995,0.5723951285520975,0.6077095789844164,0.9343975897929525,0.6080671109090916,0.4171597633136095,0.9116379310344828,2.7175819873809814
owf_rf,0.8465274405050995,0.5723951285520975,0.6077043050132235,0.9343959678104297,0.6080618442338876,0.4171597633136095,0.9116379310344828,2.5006489753723145
mrf_rf,0.8495628946090336,0.5809942509299967,0.6298229245535694,0.9418357067361229,0.6303217864864565,0.42336126170527355,0.9256465517241379,25.655248165130615
xgb,0.9165857212238951,0.5524429967426712,0.6818159007083391,0.9454337063303324,0.6820577382918862,0.6985172981878089,0.45689655172413796,0.11605191230773926
rf,0.8562408936376882,0.586880669923238,0.6500015724903061,0.9389715805069551,0.6502590266867975,0.43395252837977294,0.90625,0.7716274261474609
xt,0.861583292860612,0.5269709543568465,0.550173445896649,0.8994068557367457,0.5505445796934202,0.4284750337381916,0.6842672413793104,0.7369832992553711
ivf_rf,0.8567265662943176,0.5885634588563459,0.6509623486915774,0.9392577866957326,0.6512199940449777,0.4350515463917526,0.9094827586206896,10.920166969299316
swf_rf,0.8564837299660029,0.5875785066294487,0.6503004814709389,0.9390460442500425,0.6505578665022351,0.434468524251806,0.9073275862068966,2.5206429958343506
owf_rf,0.8564837299660029,0.5875785066294487,0.650305341145668,0.9390481085914348,0.6505627440532115,0.434468524251806,0.9073275862068966,2.330977439880371
mrf_rf,0.8596406022340942,0.5952380952380952,0.6658550284710013,0.9429006119887511,0.6661153681941814,0.4408713692946058,0.915948275862069,25.8637535572052
xgb,0.9154929577464789,0.5498059508408797,0.670855614485153,0.9479836840354453,0.6711272187269901,0.6877022653721683,0.4579741379310345,0.2529170513153076
rf,0.8547838756677999,0.5861591695501729,0.6285179253292067,0.937716829572693,0.6288233431475824,0.43170234454638123,0.9127155172413793,0.8063023090362549
xt,0.8549052938319572,0.5144250304754165,0.5403559970465572,0.9001598979861464,0.5407483685184559,0.41291585127201563,0.6821120689655172,0.7576425075531006
ivf_rf,0.8552695483244294,0.5872576177285319,0.6293648458037836,0.9380283976700073,0.629673732565776,0.4326530612244898,0.9137931034482759,11.336761951446533
swf_rf,0.8550267119961146,0.5868512110726644,0.628807374291061,0.9378058911584848,0.6291126242119415,0.4322120285423038,0.9137931034482759,2.5788586139678955
owf_rf,0.8550267119961146,0.5868512110726644,0.6288200012562047,0.9378076605939641,0.6291252316466868,0.4322120285423038,0.9137931034482759,2.4278461933135986
mrf_rf,0.8553909664885867,0.5905809556548641,0.6485656670467332,0.9439868241936092,0.6488530590279377,0.4336193841494195,0.9256465517241379,26.226502418518066
xgb,0.9147644487615347,0.5634328358208955,0.644043966067566,0.9469373578553498,0.6445477782424182,0.6661764705882353,0.48814655172413796,0.23464322090148926
rf,0.856847984458475,0.589055420006971,0.6159068830714605,0.9392793148273975,0.6163165695378401,0.4353426069036579,0.9105603448275862,0.7891509532928467
xt,0.8572122389509471,0.5231143552311436,0.5313706868362005,0.9011038918143556,0.5318909937157819,0.41937581274382313,0.6950431034482759,0.8053445816040039
ivf_rf,0.8569694026226323,0.5892608089260809,0.6168105069965808,0.9395429607138138,0.6172182075372471,0.43556701030927836,0.9105603448275862,11.557994604110718
swf_rf,0.856847984458475,0.589055420006971,0.6162844843036513,0.9393878402034616,0.616693817679816,0.4353426069036579,0.9105603448275862,2.6413192749023438
owf_rf,0.856847984458475,0.589055420006971,0.6162624484404828,0.9393863656738953,0.6166720429038998,0.4353426069036579,0.9105603448275862,2.5101428031921387
mrf_rf,0.8575764934434191,0.5934142114384748,0.6291358605923971,0.9445938142894892,0.6296913813186716,0.43740419008686765,0.9224137931034483,25.82396364212036
xgb,0.9110004856726567,0.4848910751932537,0.6551864107554539,0.9462528812307722,0.6556691987934496,0.696969696969697,0.37176724137931033,0.11433672904968262
rf,0.8578193297717338,0.5901295064753237,0.6270149264611631,0.938037760932752,0.6273496323299752,0.4370139968895801,0.9084051724137931,0.7693116664886475
xt,0.8541767848470131,0.5075850758507585,0.5252136950556489,0.8914775729951118,0.5256087935742672,0.40966247518199866,0.6670258620689655,0.7212088108062744
ivf_rf,0.8575764934434191,0.5891418563922942,0.6282332364412505,0.9384016748296624,0.6285674636642201,0.43642968344577066,0.90625,11.214877128601074
swf_rf,0.8574550752792618,0.5895104895104895,0.6273484704288675,0.9381440745144668,0.6276831241672568,0.4363354037267081,0.9084051724137931,2.685178279876709
owf_rf,0.8574550752792618,0.5895104895104895,0.6273204734513612,0.9381414203612478,0.6276551892270493,0.4363354037267081,0.9084051724137931,2.3589327335357666
mrf_rf,0.860611947547353,0.5971929824561403,0.6506617497992555,0.9448929963384481,0.6511499308292094,0.4427679500520291,0.9170258620689655,26.653737545013428
xgb,0.9139145216124333,0.5086625086625085,0.6560081076253667,0.9467409505171471,0.6568703089447219,0.7126213592233009,0.3954741379310345,0.14690613746643066
rf,0.8522340942204953,0.5833618623758987,0.62792697595996,0.9405362038295303,0.6284813992910748,0.42749623682890114,0.9181034482758621,0.7888381481170654
xt,0.8557552209810587,0.5221238938053097,0.534103093042006,0.897907259168035,0.5345449548763952,0.4165596919127086,0.6993534482758621,0.7833817005157471
ivf_rf,0.8523555123846528,0.5841313269493844,0.6293814994471179,0.9409554125851688,0.6299287436745232,0.4278557114228457,0.9202586206896551,11.471659660339355
swf_rf,0.852112676056338,0.5834473324213406,0.6283742861230384,0.9406641929958666,0.6289281039033261,0.4273547094188377,0.9191810344827587,2.6392033100128174
owf_rf,0.8522340942204953,0.5836469380773178,0.6283395339435316,0.9406649302606496,0.6288936783243947,0.42756892230576443,0.9191810344827587,2.3603556156158447
mrf_rf,0.8556338028169014,0.5926687221651251,0.6469396286181281,0.9464966946945247,0.6473816867960837,0.4344550477147162,0.9321120689655172,26.28603434562683
xgb,0.9122146673142302,0.5338491295938105,0.6515753881192919,0.9464423582800143,0.6520335161872456,0.6645264847512039,0.44612068965517243,0.11545586585998535
rf,0.8499271491015056,0.5775803144224196,0.6176905134022477,0.9362214354132458,0.6180803276900257,0.42292292292292294,0.9105603448275862,0.8059852123260498
xt,0.8530840213695969,0.5148356054530875,0.5278183396417103,0.8938545146556442,0.5286890239206817,0.4099616858237548,0.6918103448275862,0.7759242057800293
ivf_rf,0.8499271491015056,0.5772913816689466,0.6187214382684388,0.9365859391219825,0.6191076492670327,0.4228456913827655,0.9094827586206896,11.248528957366943
swf_rf,0.8496843127731909,0.5768967874231032,0.6180437301524746,0.9363424942906216,0.61843349962437,0.42242242242242245,0.9094827586206896,2.6245670318603516
owf_rf,0.8496843127731909,0.5768967874231032,0.618050704809607,0.9363444111790574,0.618440476843792,0.42242242242242245,0.9094827586206896,2.36799955368042
mrf_rf,0.8478630403108305,0.5810765630224004,0.6398862818508281,0.9439955976445275,0.6402662984102075,0.4212312166747455,0.9364224137931034,26.3890643119812
xgb,0.9133074307916464,0.5393548387096774,0.657803809458668,0.9470697706103846,0.6581337718412656,0.6720257234726688,0.4504310344827586,0.11570930480957031
rf,0.8518698397280233,0.5778546712802768,0.6289467495733956,0.9372267696714041,0.6292560704558348,0.4255861365953109,0.8997844827586207,0.9185903072357178
xt,0.8525983487129675,0.5073051948051949,0.5424543421672595,0.89300857704358,0.5429114948221166,0.4069010416666667,0.6734913793103449,0.743074893951416
ivf_rf,0.8525983487129675,0.579639889196676,0.6300131574003074,0.937599088386841,0.6303219961569504,0.4270408163265306,0.9019396551724138,11.260270595550537
swf_rf,0.8522340942204953,0.5790383950190245,0.6292945369858133,0.9373752547987089,0.6296047760378392,0.4263881813550688,0.9019396551724138,2.634187698364258
owf_rf,0.8522340942204953,0.5790383950190245,0.6293017137206868,0.937377171687145,0.6296119535086337,0.4263881813550688,0.9019396551724138,2.3903255462646484
mrf_rf,0.8559980573093735,0.59131633356306,0.6509425144055673,0.945030275041051,0.6512440311028929,0.43465045592705165,0.9245689655172413,26.82290482521057
xgb,0.9119718309859155,0.5024021962937544,0.6580735670727882,0.9459303278881906,0.6584077623215301,0.6918714555765595,0.39439655172413796,0.19881582260131836
rf,0.8528411850412821,0.5809128630705394,0.6109909974944199,0.9342283137987656,0.6113765035772288,0.42769857433808556,0.9051724137931034,0.814094066619873
xt,0.852112676056338,0.5020441537203597,0.5292488910944515,0.8961099550799313,0.5296215583126243,0.4044795783926219,0.6616379310344828,0.7735638618469238
ivf_rf,0.8530840213695969,0.5813148788927336,0.6119630465527349,0.9345075896985826,0.612348210111894,0.42813455657492355,0.9051724137931034,11.460514068603516
swf_rf,0.8529626032054395,0.5811138014527845,0.6114467346142174,0.9343791581733762,0.6118320066367677,0.42791645440652065,0.9051724137931034,2.6220741271972656
owf_rf,0.8529626032054395,0.5811138014527845,0.6114173702543105,0.9343796005322462,0.6118029691817685,0.42791645440652065,0.9051724137931034,2.3269639015197754
mrf_rf,0.8540553666828558,0.5875085792724777,0.6351061451821228,0.9416863368910783,0.6355168433424376,0.4310171198388721,0.9224137931034483,27.418476581573486
xgb,0.9130645944633318,0.4964838255977497,0.6646595067989757,0.9478899039550421,0.6649918505617702,0.7145748987854251,0.38038793103448276,0.5255413055419922
rf,0.8553909664885867,0.5842931937172775,0.6305260985410786,0.94012097630372,0.6310627474383877,0.4321115126484254,0.9019396551724138,0.7792379856109619
xt,0.8580621661000486,0.5291985501409584,0.5528361779747408,0.9043966637883848,0.5532145139216076,0.422508038585209,0.7079741379310345,0.7334423065185547
ivf_rf,0.855512384652744,0.5844972067039106,0.631187128411543,0.9403834425664835,0.631725432064941,0.43233471074380164,0.9019396551724138,11.406364440917969
swf_rf,0.8552695483244294,0.5840893230983949,0.6307694676644666,0.9402119547779476,0.6313062520811659,0.43188854489164086,0.9019396551724138,2.73193097114563
owf_rf,0.855148130160272,0.5838855946982909,0.6307757297230063,0.9402171156314291,0.6313125523096876,0.43166580711707064,0.9019396551724138,2.410015106201172
mrf_rf,0.8570908207867897,0.5965032567706547,0.6425144375683105,0.9451662266670443,0.6430124601121849,0.4374057315233786,0.9375,26.788763284683228
